alternative_id,sub_code,raw_score
A1,S1,0.4523610843968492
A2,S1,0.3425911882103992
A3,S1,0.4214188410101574
A4,S1,0.460488786080891
A5,S1,0.2423261018774509
A6,S1,0.3490362462992612
A7,S1,0.6185215704752022
A8,S1,0.4770717102042554
A9,S1,0.3369974344934163
A10,S1,0.411044956346849
A11,S1,0.3393838789802953
A12,S1,0.3627990608829829
A13,S1,0.3444882541226488
A14,S1,0.2667289357088443
A15,S1,0.2645990612637613
A16,S1,0.3623862052006153
A17,S1,0.3119535941383461
A18,S1,0.4045795255342325
A19,S1,0.3313047332747252
A20,S1,0.2852981251061975
A21,S1,0.4844826645970645
A22,S1,0.3325227109787705
A23,S1,0.387555902480575
A24,S1,0.3273270591753531
A25,S1,0.2758120327354592
A26,S1,0.320578860576769
A27,S1,0.2880307773521699
A28,S1,0.4111485801245572
A29,S1,0.3346467249434887
A30,S1,0.3637756189232472
A31,S1,0.3167125431141645
A32,S1,0.5999352222358445
A33,S1,0.3041255540905703
A34,S1,0.2511699158525933
A35,S1,0.4417473084099608
A36,S1,0.2008056369004966
A37,S1,0.3869310937809562
A38,S1,0.2874538670518597
A39,S1,0.2666722638658501
A40,S1,0.4042178845703471
A41,S1,0.3826237782868483
A42,S1,0.3639586722581811
A43,S1,0.3507017071648107
A44,S1,0.3377101102164692
A45,S1,0.3107781235843057
A46,S1,0.3419291842274751
A47,S1,0.2885907351772115
A48,S1,0.4771909820318291
A49,S1,0.4285839150061061
A50,S1,0.2805113336829874
A51,S1,0.4756473843247396
A52,S1,0.2992738498127753
A53,S1,0.2839499639698343
A54,S1,0.3720898046114752
A55,S1,0.4533730662298457
A56,S1,0.4765136568558457
A57,S1,0.351235781295808
A58,S1,0.3479083643645845
A59,S1,0.3907329896914314
A60,S1,0.4660749003294715
A61,S1,0.2994679334476446
A62,S1,0.4557338884365042
A63,S1,0.212023115963181
A64,S1,0.2851319696275312
A65,S1,0.5366144489464464
A66,S1,0.491530155405149
A67,S1,0.3626993932121847
A68,S1,0.4455117193964608
A69,S1,0.3995598004246929
A70,S1,0.3848881219736134
A71,S1,0.308123444852879
A72,S1,0.5754995881414761
A73,S1,0.3102125408545076
A74,S1,0.4967307122728279
A75,S1,0.1379254123430217
A76,S1,0.4728247075072012
A77,S1,0.3126963578972377
A78,S1,0.3729811525345545
A79,S1,0.4761018382768906
A80,S1,0.1490013809668485
A81,S1,0.3673843389641168
