sheet_name,column_name,dtype_detected,n_rows,n_nonnull,n_missing,n_unique,min_value,max_value,mean_value
Criteria_Weights,SubCode,object,55,55,0,55,,,
Criteria_Weights,MainCode,object,55,55,0,14,,,
Criteria_Weights,PropOfMain,float64,55,55,0,22,0.04999999999999999,0.45,0.2545454545454546
Criteria_Weights,AbsWeight,float64,55,55,0,35,0.0025,0.05039999999999999,0.01818181818181818
Alternative_Scores,Unnamed: 0,object,151,151,0,151,,,
Alternative_Scores,S1,float64,151,151,0,151,0.1379254123430217,0.6185215704752022,0.37076502290531527
Alternative_Scores,S2,float64,151,151,0,151,0.113443779779319,0.5792775277398556,0.3705397443211781
Alternative_Scores,S3,float64,151,151,0,151,0.1566187126822208,0.5685961681792775,0.3721488277827903
Alternative_Scores,S4,float64,151,151,0,151,0.145707093203588,0.6147737623434828,0.37483914501220594
Alternative_Scores,S30,float64,151,151,0,151,0.1622019150386441,0.646089692424553,0.3684619995110563
Alternative_Scores,S31,float64,151,151,0,151,0.1455128338969417,0.5650832146627304,0.36446222586520344
Alternative_Scores,S32,float64,151,151,0,151,0.1630018411181558,0.5853454244120014,0.36238529264663005
Alternative_Scores,S50,float64,151,151,0,151,0.1276545264323127,0.6551961662320218,0.3724241736689341
Alternative_Scores,S33,float64,151,151,0,151,0.04894417690155208,0.658824977840694,0.3320482966713756
Alternative_Scores,S34,float64,151,151,0,151,0.0001030608836941477,0.5598291324247429,0.33102522296835246
Alternative_Scores,S35,float64,151,151,0,151,0.04987555835824508,0.5828709421350603,0.33125620995181065
Alternative_Scores,S36,float64,151,151,0,151,0.06766266895805235,0.5276559749725228,0.3218838262330563
Alternative_Scores,S37,float64,151,151,0,151,0.0751679024544555,0.5413344642573128,0.32947032641005125
Alternative_Scores,S38,float64,151,151,0,151,0.06656003329517679,0.5715491522485405,0.3260615666305517
Alternative_Scores,S39,float64,151,151,0,151,0.0732900622279111,0.5839611024825925,0.31139111360136307
Alternative_Scores,S40,float64,151,151,0,151,0.08111710946475952,0.6309766446458082,0.3130047718959157
