alternative_id,entropy_score,waspas_score,promethee_score,entropy_rank,waspas_rank,promethee_rank,borda_rank,csa_score,csa_rank
A1,0.6382153245049611,0.6327615708915715,0.2338664485634804,,,,,0.774226872607535,17
A10,0.5859735744672288,0.5704306419827987,-0.09346740956635875,,,,,0.4950374414772064,107
A100,0.6145335830413791,0.6008607056541782,0.06909459465008566,,,,,0.6346642118909465,50
A101,0.5987110921083825,0.583206312251858,-0.02621429815745734,,,,,0.5533295476739054,81
A102,0.6238954570302626,0.6293159583893814,0.2206615290660724,,,,,0.7567397344235562,22
A103,0.5223548688277129,0.5424569861182768,-0.2441772548685224,,,,,0.3481801281158348,138
A104,0.5261583994222112,0.526782214729836,-0.2900696025122793,,,,,0.3108559964934575,143
A105,0.5740068750589318,0.5636739864407341,-0.1059421447349704,,,,,0.4775208449937165,113
A106,0.652313537002306,0.6489243162254716,0.3255160771876847,,,,,0.8515088903725834,7
A107,0.5783822582592506,0.5946283409349731,0.06969025298470963,,,,,0.614925029104646,55
A108,0.604374432970268,0.6202456190933054,0.158486507513948,,,,,0.7005504458814921,31
A109,0.6448899583287313,0.6711511411605533,0.4361373773222702,,,,,0.934599805969611,2
A11,0.6393921352601939,0.6232873802829075,0.1970286627813012,,,,,0.7449197443022004,25
A110,0.6028222901635932,0.5822019042832229,-0.0288166124650685,,,,,0.5529943268677944,83
A111,0.5446936973912255,0.52967661524117,-0.2989145709044589,,,,,0.3149921148316334,142
A112,0.5861474732287627,0.5608437977997909,-0.05950825533974832,,,,,0.5135796845374644,99
A113,0.6242120443102941,0.5799953392828499,-0.05496298767008207,,,,,0.5441298242910894,86
A114,0.5867623844861507,0.5622970147275539,-0.1028995849387595,,,,,0.4849381579007877,110
A115,0.6146733433377274,0.6033861119366235,0.09642298484705761,,,,,0.6546548590109238,44
A116,0.5695604038798425,0.5680153184060652,-0.120197819254322,,,,,0.4678298676627461,116
A117,0.5776035902576111,0.5668750018783817,-0.110346911001797,,,,,0.4777928237726909,112
A118,0.5481714331627067,0.5415100370830546,-0.2227784113492919,,,,,0.3745179127595805,131
A119,0.5880084343218575,0.6352609384981709,0.2544744934540299,,,,,0.7658518406407667,20
A12,0.6280669183356482,0.6413104804290105,0.2501876011397853,,,,,0.7848220918151535,14
A120,0.5869641662882856,0.6241971712636374,0.1869079068044885,,,,,0.7137114094107191,28
A121,0.5438285090275002,0.5747929606296347,-0.06063606062576671,,,,,0.499741940306257,103
A122,0.5571734439736992,0.5859108506921785,-0.02269869197921125,,,,,0.5374674582107702,90
A123,0.6051823121857338,0.5922867188797942,0.04532895762138308,,,,,0.6097668177809779,59
A124,0.6088484059579842,0.5899172262646122,0.01804086716901993,,,,,0.5916770142552711,64
A125,0.5817179197056228,0.6010909721691557,0.05554427829692774,,,,,0.610031746396938,58
A126,0.6092757589928645,0.6013298515976663,0.1064063083359116,,,,,0.6579116940197934,41
A127,0.585074548451396,0.5722045545231506,-0.06915466387588629,,,,,0.5121051415219836,100
A128,0.5296292251160212,0.5213234305774013,-0.3566149847251959,,,,,0.2643187184986673,146
A129,0.6137317053124904,0.5764733344609099,-0.05792468425023754,,,,,0.5354165051223881,92
A13,0.5981387006672484,0.6012441212144628,0.07848977803186519,,,,,0.6335367470680195,51
A130,0.4966246999240888,0.5171813568502872,-0.3415229133900846,,,,,0.2570053209810222,147
A131,0.5945125133306776,0.6168618563360475,0.1668801860696181,,,,,0.6999570051794664,32
A132,0.6235085247472395,0.6072573486509114,0.09803979278614916,,,,,0.6618456186319149,40
A133,0.5880229158804078,0.5661372596918124,-0.1079130430630275,,,,,0.4840080783306864,111
A134,0.6384612506458268,0.6462229491690616,0.269133792785051,,,,,0.8051059634009166,9
A135,0.6038251139728675,0.590925886854467,0.08414898718090907,,,,,0.634980005163879,49
A136,0.5978428555509376,0.6112714706087415,0.1225175906814382,,,,,0.6684466910291369,35
A137,0.5837975390006628,0.5755636626516056,-0.05809339068623133,,,,,0.5207238580501962,96
A138,0.6049358451669865,0.6076600408863166,0.1030123832330503,,,,,0.6566777715040594,42
