baseline,spearman_vs_csa,kendall_vs_csa,top10_overlap_with_csa
borda_rank,0.9878404781272512,0.9133896629421295,8
mean_score_rank,0.9875566399442314,0.9122295805739514,8
mean_rank_rank,0.9878404781272512,0.9133896629421295,8
weighted_rank_sum_rank,0.9878404781272512,0.9133896629421295,8
copeland_rank_proxy,0.9878404781272512,0.9133896629421295,8
